Car, Brand, Model, Mileage, Price, City, Website 
MarutiSuzukiSwiftVDi2018,MarutiSuzukiSwiftVDi2018,Swift,38500Km,1000000,Hyderabad,Droom
MarutiSuzukiSwiftVDi2011,MarutiSuzukiSwiftVDi2011,Swift,96543Km,275000,Muktsar,Droom
MarutiSuzukiSwiftVXi2007,MarutiSuzukiSwiftVXi2007,Swift,99999Km,200000,Kolkata,Droom
MarutiSuzukiSwiftLXi1.2BSIV2010,MarutiSuzukiSwiftLXi1.2BSIV2010,Swift,46000Km,206000,Delhi,Droom
MarutiSuzukiSwiftVXi2013,MarutiSuzukiSwiftVXi2013,Swift,41542Km,439856
431059,Bangalore,Droom
MarutiSuzukiSwiftVDi2014,MarutiSuzukiSwiftVDi2014,Swift,39855Km,614696
602403,Bangalore,Droom
MarutiSuzukiSwiftVDiBSIV2014,MarutiSuzukiSwiftVDiBSIV2014,Swift,58300Km,750000,Hyderabad,Droom
MarutiSuzukiSwiftVDi2014,MarutiSuzukiSwiftVDi2014,Swift,88000Km,380000
372400,Delhi,Droom
MarutiSuzukiSwiftVXi2007,MarutiSuzukiSwiftVXi2007,Swift,70000Km,305000,Delhi,Droom
MarutiSuzukiSwiftVDi2012,MarutiSuzukiSwiftVDi2012,Swift,76000Km,310000,Khatauli,Droom
