Brand, Model, Price
ASUS,Asus ROG Swift PG348Q Gray 34" 3440 x 1440 100 Hz Curved IPS G-Sync 21:9 WQHD 100% sRGB Gaming Monitor with Speakers Tilt Swift Height-Adjustable VESA Mount,

Rs 54758 
            
–


DELL,Dell P2217H 21.5" 6ms (GTG) HDMI Widescreen LED Backlight Monitor IPS 250 cd/m2 DC 1000:1,

Rs 10265 (5 Offers)

–


Sceptre,Sceptre 24" Curved 144Hz Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort HDMI Metal Black 2019 (C248B-144RN),

Rs 10604 
            
–


ASUS,ASUS VG245H Black 24" 1ms (GTG) Widescreen Dual HDMI EyeCare Console Gaming Monitor 250 cd/m2 DCR 10000000:1(1000:1) AMD FreeSync Built-in Speakers VESA Mountable Height&Pivot Adjustment,

Rs 12712 (3 Offers)

–


ASUS,LG 27BL85U-W 27" 4K Ultra HD 3840x2160 HDMI DisplayPort USB Type-C FreeSync Tilt Pivot Height IPS LED Backlit Gaming Monitor,

Rs 34170 
            
–


Acer America,Acer GF276 Abmipx Black 27" Full HD Gaming Monitor 75Hz 1ms (GTG) AMD FreeSync Built-in Speakers HDMI DisplayPort Blue Light Filter Flicker-less,

Rs 14114 (2 Offers)

–


Philips,Philips 499P9H 49" SuperWide Curved Monitor Dual QHD 5120x1440 32:9 USB-C Docking KVM Switch HDMI/DisplayPort Windows Hello Pop-Up Webcam SmartEgoBase LightSensor,

Rs 93970 (2 Offers)

–


Acer America,Acer V246HL 24" Full HD 1920x1080 16:9 5ms VGA DVI HDMI 16.7 Million Color Support Adjustable Display Angle Built-in Speakers LED LCD Monitor,

Rs 8827 (3 Offers)

–


ViewSonic,ViewSonic VX2257-MHD 22" Full HD 1080P AMD FreeSync Gaming Monitor 1000:1 250 cd/m2 HDMI VGA DisplayPort Built-in Speaker VESA Mountable,

Rs 8487 (2 Offers)

–


ViewSonic,ViewSonic VX2757-MHD 27" Full HD 1080P FreeSync Gaming Monitor 1200:1 300cd/m2 HDMI&VGA Display Port Built-in Internal Speaker VESA Mountable,

Rs 12211 (2 Offers)

–


Acer America,Acer V246HQL 23.6" Full HD 1920x1080 16:9 5ms DVI VGA LED Monitor,

Rs 7589 (5 Offers)

–


DELL,Dell SE2717HR 27" Full HD 1920x1080 75Hz 6ms AMD FreeSync HDMI VGA Narrow Bezel LED Backlit Gaming Monitor,

Rs 12088 (4 Offers)

–


ASUS,ASUS VZ249H Frameless 23.8" 5ms (GTG) IPS Widescreen LCD/LED Monitors HDMI 1920 x 1080 Ultra-Slim Design w/ Eye Care Feature and Flicker Free Technology 178/178 Viewing Angle & Built-in Speakers,

Rs 8483 (6 Offers)

–


ASUS,ASUS VE228H Black 21.5" 5ms Widescreen LED Backlight LCD Monitor Built-in Speakers,

Rs 7112 (6 Offers)

–


ASUS,ASUS VS248H-P Black 24" 2ms (GTG) Widescreen LED Backlight LCD Monitor,

Rs 8837 (10 Offers)

–


Acer America,Acer S241HL bmid Widescreen 24" LED Backlit LCD Monitor,

Rs 10603 (10 Offers)

–


ASUS,ASUS VG278Q 27" Full HD 1080p 144Hz 1ms Eye Care G-SYNC compatible Gaming Monitor with DP HDMI DVI,

Rs 20430 (4 Offers)

–


ASUS,Asus VP239H-P Black 23" IPS Panel 5ms Frameless Widescreen LCD/LED Monitor VESA Mountable Built-in Speaker Advanced Eye Care Feature HDMI D-Sub DVI-D,

Rs 9817 (8 Offers)

–


MSI,MSI Full HD Non-Glare 1ms 1920x1080 144Hz Refresh Rate USB/DP/HDMI Smart Headset Hanger FreeSync 27" Gaming Curved Monitor (Optix MAG271C),

Rs 21207 
            
–


ASUS,ASUS VS Series VS228H-P Black 21.5" 5ms Widescreen LED Backlight LCD Monitor,

Rs 7118 (5 Offers)

–


ASUS,ASUS VE248Q Black 24" LED LCD Widescreen Monitor - 16:9 2ms GTG ASCR 50000000:1 (1000:1) VESA Built-in Speakers DisplayPort HDMI VGA,

Rs 10370 (5 Offers)

–


DELL,Dell P2418HT 24" 16:9 Touchscreen IPS monitor LED-backlit 1920x1080P 250cd/m2 6ms (GTG) 1000:1 HDMI VGA DP Swivel Tilt Height adjustable USB Hub,

Rs 19794 (6 Offers)

–


HP,HP EliteDisplay E243 23.8-Inch Screen LED-Lit Monitor Silver (1FH47A8#ABA),

Rs 11239 (3 Offers)

–


HP,LG 27BK67U-B 27" 16:9 4K UHD 3840 x 2160 IPS Monitor with sRGB 99 and AMD FreeSync HDMI DisplayPort USB-C,

Rs 25602 (4 Offers)

–


DELL,Dell U2419H 24" UltraSharp monitor FHD IPS 5ms 1000:1 16.7M colors USB 3.0,

Rs 14886 (4 Offers)

–


Sceptre,Sceptre E248W-1920R 24" 5ms (GTG) 1080P Ultra Slim Monitor 1920 x 1080 16:9 5000:1 230 cd/m2 HDMI VGA Tilt Adjustable VESA Mountable US Warranty,

Rs 7104 
            
–


